original_filename,service_file,material_index_file,type,materials,objects,colors,asset_id,image_path,sha256,source_role,approval_status,provenance_source,material_tags,finish_tags
Category Icon_Couples massage_Dubai 1.png,Couples massage (Dubai).png,furniture__leather-wood-cotton__two-massage-tables-towels.png,furniture,leather-wood-cotton,two-massage-tables-towels,black-pink-brown-white,uc-icon-81d440630a2a81bf,references/archive/PNGs_renamed/Couples massage (Dubai).png,81d440630a2a81bf16a948316e3ef1c491b3992adaccf16005f3ace01b92a9e9,service_asset,existing_curated,bundled_uc_icon_archive,leather;wood;cotton,unknown
Category icon_Electrician Dubai 1.png,Electrician (Dubai).png,composite__matte-plastic-brass__wall-socket-switch-flathead-screwdriver.png,composite,matte-plastic-brass,wall-socket-switch-flathead-screwdriver,white-red-brass,uc-icon-e92d4654875ed8c5,references/archive/PNGs_renamed/Electrician (Dubai).png,e92d4654875ed8c567220ff69827b29534378d46a25119e4f2b8b4c49277478f,service_asset,existing_curated,bundled_uc_icon_archive,plastic;brass,matte
Category icon_Fan installation 1.png,Fan installation.png,appliance__matte-metal__ceiling-fan-3blade.png,appliance,matte-metal,ceiling-fan-3blade,maroon-brown,uc-icon-9eda1d009679ec06,references/archive/PNGs_renamed/Fan installation.png,9eda1d009679ec0616f2c32d0b0f79351765392c0f2438af2451f505ac4bfbf7,service_asset,existing_curated,bundled_uc_icon_archive,metal,matte
Category icon_Festive lights installation 1.png,Festive lights installation.png,composite__matte-metal-glass__balcony-railing-string-lights.png,composite,matte-metal-glass,balcony-railing-string-lights,black-yellow-grey,uc-icon-2344c678d82ad08c,references/archive/PNGs_renamed/Festive lights installation.png,2344c678d82ad08c50d2361501d52a5409dc5b04e466f297e1a0cd69894ad066,service_asset,existing_curated,bundled_uc_icon_archive,metal;glass,matte
Category icon_Festive lights installation Dubai 1.png,Festive lights installation (Dubai).png,object__glass-matte-metal-tile__glass-balustrade-railing.png,object,glass-matte-metal-tile,glass-balustrade-railing,clear-black-grey,uc-icon-1b7a123bbdea3a22,references/archive/PNGs_renamed/Festive lights installation (Dubai).png,1b7a123bbdea3a220b863569a15029373450713f8f1fc9e5a1976f2c3d8ce8c6,service_asset,existing_curated,bundled_uc_icon_archive,glass;metal;tile,matte
Category Icon_Fitness & yoga trainers_Dubai 1.png,Fitness & yoga trainers (Dubai).png,object__matte-rubber-brushed-steel__dumbbell.png,object,matte-rubber-brushed-steel,dumbbell,grey-charcoal,uc-icon-7d5c1a870f23b5f9,references/archive/PNGs_renamed/Fitness & yoga trainers (Dubai).png,7d5c1a870f23b5f982b143c4a73cf364159851ae149866e20b757b6bbb5bd4db,service_asset,existing_curated,bundled_uc_icon_archive,rubber;steel,matte;brushed
Category icon_Furniture assembly 1.png,Furniture assembly.png,furniture__wood-metal__open-shelf-cabinet-frame-side-panel.png,furniture,wood-metal,open-shelf-cabinet-frame-side-panel,tan-wood-silver,uc-icon-cfcb6e765a1b795f,references/archive/PNGs_renamed/Furniture assembly.png,cfcb6e765a1b795fafc38506767cc31800f16067690003d6ee413b24450a5594,service_asset,existing_curated,bundled_uc_icon_archive,wood;metal,unknown
Category icon_Geyser 1.png,Geyser.png,appliance__brushed-steel-plastic__water-heater-geyser-cylinder.png,appliance,brushed-steel-plastic,water-heater-geyser-cylinder,white-silver-red-green,uc-icon-5cc1defbfa2f8597,references/archive/PNGs_renamed/Geyser.png,5cc1defbfa2f8597345e74ea508e52af9d67e4ce366f301ace9783eeea39c049,service_asset,existing_curated,bundled_uc_icon_archive,steel;plastic,brushed
Category icon_Hair studio for women 1.png,Hair studio for women.png,appliance__matte-plastic__hair-dryer.png,appliance,matte-plastic,hair-dryer,lavender-purple-pink,uc-icon-ad526eb14b3d0686,references/archive/PNGs_renamed/Hair studio for women.png,ad526eb14b3d0686ee9923a7b40d5dc499d6ff397f974891e37ceff8dd9390fd,service_asset,existing_curated,bundled_uc_icon_archive,plastic,matte
Category Icon_Handymen Dubai 1.png,Handymen (Dubai).png,composite__matte-plastic-metal__toolbox-wrench.png,composite,matte-plastic-metal,toolbox-wrench,red-white,uc-icon-204c15a60f0879da,references/archive/PNGs_renamed/Handymen (Dubai).png,204c15a60f0879da4bef02ba66cabc45569a6410a2a1957f94afb5f813dffc85,service_asset,existing_curated,bundled_uc_icon_archive,plastic;metal,matte
Category icon_IKEA furniture assembly 1.png,IKEA furniture assembly.png,furniture__matte-wood__chest-of-drawers-dresser.png,furniture,matte-wood,chest-of-drawers-dresser,pale-pink-beige,uc-icon-3e6d0841fd7a9c23,references/archive/PNGs_renamed/IKEA furniture assembly.png,3e6d0841fd7a9c235dc151f53816020979754fb0938a218a26777d8316b67dfb,service_asset,existing_curated,bundled_uc_icon_archive,wood,matte
Category icon_Kitchen cleaning-1 1.png,Kitchen cleaning.png,appliance__brushed-steel-glass__kitchen-chimney-range-hood.png,appliance,brushed-steel-glass,kitchen-chimney-range-hood,silver-black,uc-icon-b1c11d3c3c32b214,references/archive/PNGs_renamed/Kitchen cleaning.png,b1c11d3c3c32b2141cf4d4ce81b4611da22f3e2013ca2a916d53925a186cefbe,service_asset,existing_curated,bundled_uc_icon_archive,steel;glass,brushed
Category icon_Laptop repair 1.png,Laptop repair.png,appliance__brushed-aluminum-glass__laptop-open.png,appliance,brushed-aluminum-glass,laptop-open,silver-black,uc-icon-bb7784d3fd5a7f47,references/archive/PNGs_renamed/Laptop repair.png,bb7784d3fd5a7f47ae735d9b4a3182d0468d168920d95a41df44cef85ee01f5d,service_asset,existing_curated,bundled_uc_icon_archive,aluminum;glass,brushed
Category Icon_Laundry and Ironing singapore 1.png,Laundry and Ironing (Singapore).png,composite__rattan-cotton__laundry-basket-folded-clothes.png,composite,rattan-cotton,laundry-basket-folded-clothes,tan-blue-yellow-pink,uc-icon-4ca323c27cd1c0ba,references/archive/PNGs_renamed/Laundry and Ironing (Singapore).png,4ca323c27cd1c0baed94588626896f479d52d2bb57c7fa00fc9cdaf19cffd7b2,service_asset,existing_curated,bundled_uc_icon_archive,rattan;cotton,unknown
Category icon_Living & bedroom cleaning 1.png,Living & bedroom cleaning.png,furniture__fabric-upholstery-wood__armchair-cushion.png,furniture,fabric-upholstery-wood,armchair-cushion,beige-yellow,uc-icon-44917b5b770e4c02,references/archive/PNGs_renamed/Living & bedroom cleaning.png,44917b5b770e4c02f083b1afdbc6cbad642d222ad2d50e4ee8341a2223ea6418,service_asset,existing_curated,bundled_uc_icon_archive,fabric;wood,unknown
Category icon_Makeup & styling studio 1.png,Makeup & styling studio.png,object__matte-cosmetic-glossy-metal__lipstick-open.png,object,matte-cosmetic-glossy-metal,lipstick-open,red-gold-black,uc-icon-aeb8a669b2177b7f,references/archive/PNGs_renamed/Makeup & styling studio.png,aeb8a669b2177b7fdf706dcfdbce20e7e3d425cf75cf4ecbcd8083fb1ab25031,service_asset,existing_curated,bundled_uc_icon_archive,metal,matte;glossy
Category icon_Massage for men 1.png,Massage for men.png,furniture__leather-wood-cotton__massage-table-towel-headrest.png,furniture,leather-wood-cotton,massage-table-towel-headrest,black-brown-white,uc-icon-7b0f0fe58d2ef6f1,references/archive/PNGs_renamed/Massage for men.png,7b0f0fe58d2ef6f14045e283ee2dbe0cff565abf83b8b0062a825fc509997485,service_asset,existing_curated,bundled_uc_icon_archive,leather;wood;cotton,unknown
Category icon_microwave repair 1.png,Microwave repair.png,appliance__brushed-steel-glass-plastic__microwave-oven.png,appliance,brushed-steel-glass-plastic,microwave-oven,silver-black,uc-icon-6ec2e1a74889523b,references/archive/PNGs_renamed/Microwave repair.png,6ec2e1a74889523b5eab8dfc2e3d6bbaa7fd13362069b4da2b89b9d82045496e,service_asset,existing_curated,bundled_uc_icon_archive,steel;glass;plastic,brushed
Category Icon_Packers & movers Dubai 1.png,Packers & movers (Dubai).png,object__glossy-painted-metal-rubber-chrome__delivery-box-truck-cargo.png,object,glossy-painted-metal-rubber-chrome,delivery-box-truck-cargo,red-yellow-black,uc-icon-37c750699be22cff,references/archive/PNGs_renamed/Packers & movers (Dubai).png,37c750699be22cffd305759ef97426f28aafadf89daa52b31865da405c0c5a4a,service_asset,existing_curated,bundled_uc_icon_archive,metal;rubber;chrome,glossy;painted
Category icon_Plumber 1.png,Plumber.png,composite__glossy-ceramic-chrome-rubber__sink-faucet-adjustable-wrench.png,composite,glossy-ceramic-chrome-rubber,sink-faucet-adjustable-wrench,white-chrome-red,uc-icon-2113b696cb445218,references/archive/PNGs_renamed/Plumber.png,2113b696cb445218318d1544c228e1113b7146b469c9f85aa730f9af454375a9,service_asset,existing_curated,bundled_uc_icon_archive,ceramic;chrome;rubber,glossy
Category Icon_Premium AC cleaning Dubai 1.png,Premium AC cleaning (Dubai).png,appliance__matte-plastic-glass__split-air-conditioner.png,appliance,matte-plastic-glass,split-air-conditioner,grey-silver,uc-icon-9181434dc77f98b7,references/archive/PNGs_renamed/Premium AC cleaning (Dubai).png,9181434dc77f98b78b74429ab1560187eb0c21355e4a8b7136a69fc2371cf810,service_asset,existing_curated,bundled_uc_icon_archive,plastic;glass,matte
Category icon_Premium_Living & bedroom cleaning_dubai 1.png,Premium living & bedroom cleaning (Dubai).png,furniture__woven-fabric-wood__tufted-armchair.png,furniture,woven-fabric-wood,tufted-armchair,light-blue-grey,uc-icon-0e9f63bf6654068e,references/archive/PNGs_renamed/Premium living & bedroom cleaning (Dubai).png,0e9f63bf6654068e6862debb64e6c786da25547f1b82c65cabb48d5114d7fd85,service_asset,existing_curated,bundled_uc_icon_archive,fabric;wood,woven
Category icon_premium_pest control dubai 1.png,Premium pest control (Dubai).png,composite__glossy-chitin__cockroach-prohibition-sign__brown-red.png,composite,glossy-chitin,cockroach-prohibition-sign,brown-red,uc-icon-9fd2075b4a29fb7b,references/archive/PNGs_renamed/Premium pest control (Dubai).png,9fd2075b4a29fb7bcb927ddebc9e2d443afc66232c3da0656f2b9262933e2575,service_asset,existing_curated,bundled_uc_icon_archive,chitin,glossy
Category icon_Refrigerator repair 1.png,Refrigerator repair.png,appliance__brushed-steel__double-door-refrigerator.png,appliance,brushed-steel,double-door-refrigerator,silver-grey,uc-icon-30712c9471e8fb77,references/archive/PNGs_renamed/Refrigerator repair.png,30712c9471e8fb77901e4d4a5a2bde859ef3ad52bf0fcf79a2063be28560e493,service_asset,existing_curated,bundled_uc_icon_archive,steel,brushed
Category icon_Spa for women-1 1.png,Spa for women.png,furniture__pink-leather-wood-cotton__massage-table-towel.png,furniture,pink-leather-wood-cotton,massage-table-towel,pink-brown-white,uc-icon-00651da0729e337d,references/archive/PNGs_renamed/Spa for women.png,00651da0729e337d9c8299457a0dde292d405d321c2239a34aa5054d64eb0635,service_asset,existing_curated,bundled_uc_icon_archive,leather;wood;cotton,unknown
Category icon_Stove 1.png,Stove.png,appliance__glass-brushed-steel-brass__two-burner-gas-stove.png,appliance,glass-brushed-steel-brass,two-burner-gas-stove,black-silver-brass,uc-icon-fb0fee8524ea62ec,references/archive/PNGs_renamed/Stove.png,fb0fee8524ea62ec3d13a00cbd21c5517f12d19df5ece780e5b3ab8c6b990b4e,service_asset,existing_curated,bundled_uc_icon_archive,glass;steel;brass,brushed
Category icon_TV Repair 1.png,TV repair.png,appliance__matte-plastic-glass-chrome__flat-screen-television.png,appliance,matte-plastic-glass-chrome,flat-screen-television,black-silver,uc-icon-6277f693b9c70359,references/archive/PNGs_renamed/TV repair.png,6277f693b9c703599d578dac0f697a83b845474b7c123132bb2a8957aaf9dff4,service_asset,existing_curated,bundled_uc_icon_archive,plastic;glass;chrome,matte
Category icon_Washing machine repair 1.png,Washing machine repair.png,appliance__matte-plastic-glass__front-load-washing-machine.png,appliance,matte-plastic-glass,front-load-washing-machine,grey-silver,uc-icon-0fa5aefb193db7d0,references/archive/PNGs_renamed/Washing machine repair.png,0fa5aefb193db7d0a3bc12556f1d20b52f801fe9d80ba78ff201c20d47b26653,service_asset,existing_curated,bundled_uc_icon_archive,plastic;glass,matte
Category icon_Water purifier repair 1.png,Water purifier repair.png,appliance__matte-plastic-tinted-glass__wall-mount-water-purifier-tap.png,appliance,matte-plastic-tinted-glass,wall-mount-water-purifier-tap,white-blue,uc-icon-e687f69b2c44aab2,references/archive/PNGs_renamed/Water purifier repair.png,e687f69b2c44aab29f6e85e3357ed0f5886e31964f4c44310e181f8038378004,service_asset,existing_curated,bundled_uc_icon_archive,plastic;glass,matte;tinted
Category icon_Wood polish 1.png,Wood polish.png,furniture__glossy-polished-wood__two-door-wooden-cabinet.png,furniture,glossy-polished-wood,two-door-wooden-cabinet,honey-brown,uc-icon-cd5c0a84e4b3ab99,references/archive/PNGs_renamed/Wood polish.png,cd5c0a84e4b3ab9949e5ae940366603b16776b5d2481a40158a62422db09e174,service_asset,existing_curated,bundled_uc_icon_archive,wood,glossy;polished
Cooks_dubai 1.png,Cooks (Dubai).png,object__matte-cast-iron-wood__cooking-pot-ladle-stew.png,object,matte-cast-iron-wood,cooking-pot-ladle-stew,black-orange-tan,uc-icon-c9ad9760101c6bd5,references/archive/PNGs_renamed/Cooks (Dubai).png,c9ad9760101c6bd5babe001d034783ccad1bcf367405fa15afbe853f523f81a4,service_asset,existing_curated,bundled_uc_icon_archive,wood;cast iron,matte
"Curtains, Dubai 1.png",Curtains (Dubai).png,textile__matte-fabric-bronze-metal__curtain-panel-rod-grommets.png,textile,matte-fabric-bronze-metal,curtain-panel-rod-grommets,beige-bronze,uc-icon-672d700b55ac7925,references/archive/PNGs_renamed/Curtains (Dubai).png,672d700b55ac7925513684c1edae9e54322a9dd6e10f2f420c3ab3d6303e133f,service_asset,existing_curated,bundled_uc_icon_archive,fabric;bronze;metal,matte
"Curtains, Dubai-1.png",Door installation (Dubai) [filed as Curtains].png,composite__wood-yellow-plastic-metal__wooden-door-power-drill.png,composite,wood-yellow-plastic-metal,wooden-door-power-drill,brown-yellow-black,uc-icon-2bbd5fce8535fb7d,references/archive/PNGs_renamed/Door installation (Dubai) [filed as Curtains].png,2bbd5fce8535fb7d79215b4759f4a22f432b677735afc53bd61a1286c86e11d2,service_asset,existing_curated,bundled_uc_icon_archive,wood;plastic;metal,unknown
"Curtains, Dubai-2.png",Toilet unclogging (Dubai) [filed as Curtains].png,composite__ceramic-glossy-red-plastic__toilet-plunger.png,composite,ceramic-glossy-red-plastic,toilet-plunger,white-red-black,uc-icon-da1bbcbc165736ca,references/archive/PNGs_renamed/Toilet unclogging (Dubai) [filed as Curtains].png,da1bbcbc165736ca1180f159df34fc85d7f5ae7efba0db1de915d38f3aa687fa,service_asset,existing_curated,bundled_uc_icon_archive,ceramic;plastic,glossy
"Curtains, Dubai.png",Electrical socket & switch (Dubai) [filed as Curtains].png,composite__matte-plastic-chrome-brass__wall-socket-switch-phillips-screwdriver.png,composite,matte-plastic-chrome-brass,wall-socket-switch-phillips-screwdriver,white-red-chrome,uc-icon-26b84a6aaa7e70e5,references/archive/PNGs_renamed/Electrical socket & switch (Dubai) [filed as Curtains].png,26b84a6aaa7e70e5abb38b994679dc36e02558a473ec6160979a34362e852fd2,service_asset,existing_curated,bundled_uc_icon_archive,plastic;chrome;brass,matte
HS_ Appliance & AC repair_India 1.png,Appliance & AC repair (India).png,appliance__matte-plastic-glossy-display__split-ac-unit.png,appliance,matte-plastic-glossy-display,split-ac-unit,white-blue,uc-icon-910871e2c3ca39ab,references/archive/PNGs_renamed/Appliance & AC repair (India).png,910871e2c3ca39ab2929f055779d34c0acd69e7a7ef704ca0ffa05e7ffe9a16b,service_asset,existing_curated,bundled_uc_icon_archive,plastic,matte;glossy
HS_ Luxury Men's salon & massage_Dubai 1.png,Luxury Mens salon & massage (Dubai).png,human__matte-cotton-skin__man-bust-robe-eyepatches-shavingfoam-sparkles.png,human,matte-cotton-skin,man-bust-robe-eyepatches-shavingfoam-sparkles,white-brown-green-yellow,uc-icon-a4b5a2454fc3ebc4,references/archive/PNGs_renamed/Luxury Mens salon & massage (Dubai).png,a4b5a2454fc3ebc4ef4829d6b1418339da687049d55df1dfd344ec64136f4f3c,service_asset,existing_curated,bundled_uc_icon_archive,cotton;skin,matte
HS_All in one help_Dubai-1 1.png,All in one help (Dubai).png,human__matte-cotton-skin__woman-bust-apron-collared-shirt.png,human,matte-cotton-skin,woman-bust-apron-collared-shirt,blue-yellow-brown,uc-icon-7de24967372dea1a,references/archive/PNGs_renamed/All in one help (Dubai).png,7de24967372dea1aa792be942b99b724912513df89b6ebabfb5a2cef2ad3e587,service_asset,existing_curated,bundled_uc_icon_archive,cotton;skin,matte
HS_Cleaning & pest control _India 1.png,Cleaning & pest control (India).png,appliance__matte-plastic-rubber__canister-vacuum-cleaner.png,appliance,matte-plastic-rubber,canister-vacuum-cleaner,red-black,uc-icon-d2805d23b140c548,references/archive/PNGs_renamed/Cleaning & pest control (India).png,d2805d23b140c548ee2a1d744d958189682d3e0d7f47bacda716dc6d68b5943f,service_asset,existing_curated,bundled_uc_icon_archive,plastic;rubber,matte
"HS_Electrician, plumber &  carpenter _India 1.png","Electrician, plumber & carpenter (India).png",tool__matte-steel-plastic__adjustable-wrench-phillips-screwdriver-crossed.png,tool,matte-steel-plastic,adjustable-wrench-phillips-screwdriver-crossed,silver-red-blue,uc-icon-638305825a735c82,"references/archive/PNGs_renamed/Electrician, plumber & carpenter (India).png",638305825a735c82a164e1149ce86c2522bf3d6d4ec56882548c63c621f564bf,service_asset,existing_curated,bundled_uc_icon_archive,steel;plastic,matte
HS_Insta help_India 1.png,Insta help (India).png,human__matte-cotton-skin__woman-bust-apron-collared-shirt__purple-white-brown.png,human,matte-cotton-skin,woman-bust-apron-collared-shirt,purple-white-brown,uc-icon-55f8e229c6eb7fe6,references/archive/PNGs_renamed/Insta help (India).png,55f8e229c6eb7fe6d7007b8d66b82611c89a201d9cfefe709f0b9dba0b27f6de,service_asset,existing_curated,bundled_uc_icon_archive,cotton;skin,matte
HS_Luxury Women's salon & spa_Dubai 1.png,Luxury Womens salon & spa (Dubai).png,human__matte-cotton-skin__woman-bust-robe-towelturban-facemask-sparkles.png,human,matte-cotton-skin,woman-bust-robe-towelturban-facemask-sparkles,white-green-yellow,uc-icon-6211052da83ced6b,references/archive/PNGs_renamed/Luxury Womens salon & spa (Dubai).png,6211052da83ced6b3267fc908cc5fe0529b448dcb68ec8170289990f4baec959,service_asset,existing_curated,bundled_uc_icon_archive,cotton;skin,matte
HS_Mani-pedi_SGP 1.png,Mani-pedi (Singapore).png,object__glossy-glass-matte-plastic__nail-polish-bottle.png,object,glossy-glass-matte-plastic,nail-polish-bottle,pink-black,uc-icon-534e8f31c13859d9,references/archive/PNGs_renamed/Mani-pedi (Singapore).png,534e8f31c13859d916f6ba7815ab26396289721cf6581ee1cbf8fffb8e592527,service_asset,existing_curated,bundled_uc_icon_archive,glass;plastic,glossy;matte
HS_Men's salon & massage_Dubai 1.png,Mens salon & massage (Dubai).png,human__matte-cotton-skin__man-bust-robe-eyepatches-shavingfoam.png,human,matte-cotton-skin,man-bust-robe-eyepatches-shavingfoam,white-brown-green,uc-icon-aa0caac7e86c4199,references/archive/PNGs_renamed/Mens salon & massage (Dubai).png,aa0caac7e86c41998df727b3d3a26b0049cf2530c8f000c7cb998ec07806042d,service_asset,existing_curated,bundled_uc_icon_archive,cotton;skin,matte
HS_Monthly Cleaners_Dubai 1.png,Monthly cleaners (Dubai).png,composite__matte-plastic-metal-cotton__cleaning-bucket-cloth-calendar.png,composite,matte-plastic-metal-cotton,cleaning-bucket-cloth-calendar,blue-yellow-white-red,uc-icon-935e986f280c16d1,references/archive/PNGs_renamed/Monthly cleaners (Dubai).png,935e986f280c16d104bcd6ab9e34e8b23b940bba07958c7700c40674cadd64bb,service_asset,existing_curated,bundled_uc_icon_archive,plastic;metal;cotton,matte
HS_Native Locks_India 1.png,Native Locks (India).png,object__matte-metal-glossy-plastic-glass__smart-lock-keypad-door-handle.png,object,matte-metal-glossy-plastic-glass,smart-lock-keypad-door-handle,bronze-black-charcoal,uc-icon-744c8b5c573c4b10,references/archive/PNGs_renamed/Native Locks (India).png,744c8b5c573c4b104e809c1702e7a125e1f4058c9fd7da96e0cb9ada39df23ba,service_asset,existing_curated,bundled_uc_icon_archive,metal;plastic;glass,matte;glossy
HS_Native RO Water Purifiers_India 1.png,Native RO Water Purifiers (India).png,appliance__glossy-glass-matte-plastic__ro-water-purifier-dispenser-tap.png,appliance,glossy-glass-matte-plastic,ro-water-purifier-dispenser-tap,charcoal-grey-black,uc-icon-573b0faf331d3689,references/archive/PNGs_renamed/Native RO Water Purifiers (India).png,573b0faf331d3689c4a2d27c9bca5564f12148860cc4c5fc5ee0735132bf5873,service_asset,existing_curated,bundled_uc_icon_archive,glass;plastic,glossy;matte
HS_Painting & waterproofing _India 1.png,Painting & waterproofing (India).png,tool__foam-metal-wood__paint-roller.png,tool,foam-metal-wood,paint-roller,yellow-silver-tan,uc-icon-2d1b8b9078e82982,references/archive/PNGs_renamed/Painting & waterproofing (India).png,2d1b8b9078e82982ca959efcb5cb41dda11ba0e8808468f4da2dc5c10011086c,service_asset,existing_curated,bundled_uc_icon_archive,foam;metal;wood,unknown
HS_Part-time cleaners_Dubai-1 1.png,Part-time cleaners (Dubai).png,composite__plastic-microfiber__cleaning-caddy-spray-bottle-cloth.png,composite,plastic-microfiber,cleaning-caddy-spray-bottle-cloth,white-blue-yellow,uc-icon-34b0e63f6486978c,references/archive/PNGs_renamed/Part-time cleaners (Dubai).png,34b0e63f6486978cde51c4d0d94c0311b974f662287726734743647b758c10a5,service_asset,existing_curated,bundled_uc_icon_archive,plastic;microfiber,unknown
HS_Premium helper _ Dubai 1.png,Premium helper (Dubai).png,human__stylized-3d-render__woman-bust-uniform-gold-trim.png,human,stylized-3d-render,woman-bust-uniform-gold-trim,brown-black-skintone,uc-icon-138e0bd2a2d772e5,references/archive/PNGs_renamed/Premium helper (Dubai).png,138e0bd2a2d772e57b659a04eadf710a6ec7e01b456e74eb7a1e7588a9380401,service_asset,existing_curated,bundled_uc_icon_archive,unknown,unknown
HS_Women's salon & spa_Dubai 1.png,Womens salon & spa (Dubai).png,human__stylized-render-terrycloth__woman-bust-facemask-towelwrap-robe.png,human,stylized-render-terrycloth,woman-bust-facemask-towelwrap-robe,green-cream-skintone,uc-icon-2c25b1cb7fdc91c2,references/archive/PNGs_renamed/Womens salon & spa (Dubai).png,2c25b1cb7fdc91c23ef3b08d87948b6a13ad08645906b4e015d1877fc853d484,service_asset,existing_curated,bundled_uc_icon_archive,unknown,unknown
ID Dubai 1.png,ID verification (Dubai).png,object__flat-3d-render-plastic__id-card-avatar-photo.png,object,flat-3d-render-plastic,id-card-avatar-photo,pink-magenta-blue,uc-icon-e0a1fc7562430146,references/archive/PNGs_renamed/ID verification (Dubai).png,e0a1fc75624301463b28641d60d8471d0eaf9b7e1f926f0b54e60f96a2e83df7,service_asset,existing_curated,bundled_uc_icon_archive,plastic,unknown
Live-in Dubai 1.png,Live-in help (Dubai).png,composite__stylized-3d-render__woman-bust-house-model.png,composite,stylized-3d-render,woman-bust-house-model,brown-blue-yellow-terracotta,uc-icon-02cf301d8752fe58,references/archive/PNGs_renamed/Live-in help (Dubai).png,02cf301d8752fe581e056deb0a78c0fd9d58a9beea8465af18f50c0ccb940097,service_asset,existing_curated,bundled_uc_icon_archive,unknown,unknown
Move-in cleaning India 1.png,Move-in cleaning (India).png,object__matte-render-glass__house-model-garage-door.png,object,matte-render-glass,house-model-garage-door,cream-grey-red,uc-icon-721cdf4873a1071f,references/archive/PNGs_renamed/Move-in cleaning (India).png,721cdf4873a1071f90adc3d7631147cd95db353f192ca7efe70d891accab813f,service_asset,existing_curated,bundled_uc_icon_archive,glass,matte
