original_filename,service_file,material_index_file,type,materials,objects,colors,image_path
Category Icon_Laundry and Ironing singapore 1.png,Laundry and Ironing (Singapore).png,composite__rattan-cotton__laundry-basket-folded-clothes.png,composite,rattan-cotton,laundry-basket-folded-clothes,tan-blue-yellow-pink,references/archive/PNGs_renamed/Laundry and Ironing (Singapore).png
Category icon_Living & bedroom cleaning 1.png,Living & bedroom cleaning.png,furniture__fabric-upholstery-wood__armchair-cushion.png,furniture,fabric-upholstery-wood,armchair-cushion,beige-yellow,references/archive/PNGs_renamed/Living & bedroom cleaning.png
Category icon_Makeup & styling studio 1.png,Makeup & styling studio.png,object__matte-cosmetic-glossy-metal__lipstick-open.png,object,matte-cosmetic-glossy-metal,lipstick-open,red-gold-black,references/archive/PNGs_renamed/Makeup & styling studio.png
Category icon_Massage for men 1.png,Massage for men.png,furniture__leather-wood-cotton__massage-table-towel-headrest.png,furniture,leather-wood-cotton,massage-table-towel-headrest,black-brown-white,references/archive/PNGs_renamed/Massage for men.png
Category icon_microwave repair 1.png,Microwave repair.png,appliance__brushed-steel-glass-plastic__microwave-oven.png,appliance,brushed-steel-glass-plastic,microwave-oven,silver-black,references/archive/PNGs_renamed/Microwave repair.png
Category Icon_Packers & movers Dubai 1.png,Packers & movers (Dubai).png,object__glossy-painted-metal-rubber-chrome__delivery-box-truck-cargo.png,object,glossy-painted-metal-rubber-chrome,delivery-box-truck-cargo,red-yellow-black,references/archive/PNGs_renamed/Packers & movers (Dubai).png
Category icon_pest control dubai 1.png,_duplicates/Pest control (Dubai) [identical to Cockroach control].png,,composite,glossy-chitin,cockroach-prohibition-sign,brown-red,
Category icon_Plumber 1.png,Plumber.png,composite__glossy-ceramic-chrome-rubber__sink-faucet-adjustable-wrench.png,composite,glossy-ceramic-chrome-rubber,sink-faucet-adjustable-wrench,white-chrome-red,references/archive/PNGs_renamed/Plumber.png
Category Icon_Premium AC cleaning Dubai 1.png,Premium AC cleaning (Dubai).png,appliance__matte-plastic-glass__split-air-conditioner.png,appliance,matte-plastic-glass,split-air-conditioner,grey-silver,references/archive/PNGs_renamed/Premium AC cleaning (Dubai).png
Category icon_Premium_Living & bedroom cleaning_dubai 1.png,Premium living & bedroom cleaning (Dubai).png,furniture__woven-fabric-wood__tufted-armchair.png,furniture,woven-fabric-wood,tufted-armchair,light-blue-grey,references/archive/PNGs_renamed/Premium living & bedroom cleaning (Dubai).png
Category icon_premium_pest control dubai 1.png,Premium pest control (Dubai).png,composite__glossy-chitin__cockroach-prohibition-sign__brown-red.png,composite,glossy-chitin,cockroach-prohibition-sign,brown-red,references/archive/PNGs_renamed/Premium pest control (Dubai).png
Category icon_Refrigerator repair 1.png,Refrigerator repair.png,appliance__brushed-steel__double-door-refrigerator.png,appliance,brushed-steel,double-door-refrigerator,silver-grey,references/archive/PNGs_renamed/Refrigerator repair.png
Category icon_Spa for women-1 1.png,Spa for women.png,furniture__pink-leather-wood-cotton__massage-table-towel.png,furniture,pink-leather-wood-cotton,massage-table-towel,pink-brown-white,references/archive/PNGs_renamed/Spa for women.png
Category icon_Stove 1.png,Stove.png,appliance__glass-brushed-steel-brass__two-burner-gas-stove.png,appliance,glass-brushed-steel-brass,two-burner-gas-stove,black-silver-brass,references/archive/PNGs_renamed/Stove.png
Category icon_TV Repair 1.png,TV repair.png,appliance__matte-plastic-glass-chrome__flat-screen-television.png,appliance,matte-plastic-glass-chrome,flat-screen-television,black-silver,references/archive/PNGs_renamed/TV repair.png
Category icon_Washing machine repair 1.png,Washing machine repair.png,appliance__matte-plastic-glass__front-load-washing-machine.png,appliance,matte-plastic-glass,front-load-washing-machine,grey-silver,references/archive/PNGs_renamed/Washing machine repair.png
Category icon_Water purifier repair 1.png,Water purifier repair.png,appliance__matte-plastic-tinted-glass__wall-mount-water-purifier-tap.png,appliance,matte-plastic-tinted-glass,wall-mount-water-purifier-tap,white-blue,references/archive/PNGs_renamed/Water purifier repair.png
Category icon_Wood polish 1.png,Wood polish.png,furniture__glossy-polished-wood__two-door-wooden-cabinet.png,furniture,glossy-polished-wood,two-door-wooden-cabinet,honey-brown,references/archive/PNGs_renamed/Wood polish.png
Cooks_dubai 1.png,Cooks (Dubai).png,object__matte-cast-iron-wood__cooking-pot-ladle-stew.png,object,matte-cast-iron-wood,cooking-pot-ladle-stew,black-orange-tan,references/archive/PNGs_renamed/Cooks (Dubai).png
"Curtains, Dubai 1.png",Curtains (Dubai).png,textile__matte-fabric-bronze-metal__curtain-panel-rod-grommets.png,textile,matte-fabric-bronze-metal,curtain-panel-rod-grommets,beige-bronze,references/archive/PNGs_renamed/Curtains (Dubai).png
"Curtains, Dubai-1.png",Door installation (Dubai) [filed as Curtains].png,composite__wood-yellow-plastic-metal__wooden-door-power-drill.png,composite,wood-yellow-plastic-metal,wooden-door-power-drill,brown-yellow-black,references/archive/PNGs_renamed/Door installation (Dubai) [filed as Curtains].png
"Curtains, Dubai-2.png",Toilet unclogging (Dubai) [filed as Curtains].png,composite__ceramic-glossy-red-plastic__toilet-plunger.png,composite,ceramic-glossy-red-plastic,toilet-plunger,white-red-black,references/archive/PNGs_renamed/Toilet unclogging (Dubai) [filed as Curtains].png
"Curtains, Dubai.png",Electrical socket & switch (Dubai) [filed as Curtains].png,composite__matte-plastic-chrome-brass__wall-socket-switch-phillips-screwdriver.png,composite,matte-plastic-chrome-brass,wall-socket-switch-phillips-screwdriver,white-red-chrome,references/archive/PNGs_renamed/Electrical socket & switch (Dubai) [filed as Curtains].png
HS_ Appliance & AC repair_India 1.png,Appliance & AC repair (India).png,appliance__matte-plastic-glossy-display__split-ac-unit.png,appliance,matte-plastic-glossy-display,split-ac-unit,white-blue,references/archive/PNGs_renamed/Appliance & AC repair (India).png
HS_ Luxury Men's salon & massage_Dubai 1.png,Luxury Mens salon & massage (Dubai).png,human__matte-cotton-skin__man-bust-robe-eyepatches-shavingfoam-sparkles.png,human,matte-cotton-skin,man-bust-robe-eyepatches-shavingfoam-sparkles,white-brown-green-yellow,references/archive/PNGs_renamed/Luxury Mens salon & massage (Dubai).png
HS_All in one help_Dubai-1 1.png,All in one help (Dubai).png,human__matte-cotton-skin__woman-bust-apron-collared-shirt.png,human,matte-cotton-skin,woman-bust-apron-collared-shirt,blue-yellow-brown,references/archive/PNGs_renamed/All in one help (Dubai).png
HS_Cleaning & pest control _India 1.png,Cleaning & pest control (India).png,appliance__matte-plastic-rubber__canister-vacuum-cleaner.png,appliance,matte-plastic-rubber,canister-vacuum-cleaner,red-black,references/archive/PNGs_renamed/Cleaning & pest control (India).png
"HS_Electrician, plumber &  carpenter _India 1.png","Electrician, plumber & carpenter (India).png",tool__matte-steel-plastic__adjustable-wrench-phillips-screwdriver-crossed.png,tool,matte-steel-plastic,adjustable-wrench-phillips-screwdriver-crossed,silver-red-blue,"references/archive/PNGs_renamed/Electrician, plumber & carpenter (India).png"
HS_Insta help_India 1.png,Insta help (India).png,human__matte-cotton-skin__woman-bust-apron-collared-shirt__purple-white-brown.png,human,matte-cotton-skin,woman-bust-apron-collared-shirt,purple-white-brown,references/archive/PNGs_renamed/Insta help (India).png
HS_Luxury Women's salon & spa_Dubai 1.png,Luxury Womens salon & spa (Dubai).png,human__matte-cotton-skin__woman-bust-robe-towelturban-facemask-sparkles.png,human,matte-cotton-skin,woman-bust-robe-towelturban-facemask-sparkles,white-green-yellow,references/archive/PNGs_renamed/Luxury Womens salon & spa (Dubai).png
HS_Mani-pedi_SGP 1.png,Mani-pedi (Singapore).png,object__glossy-glass-matte-plastic__nail-polish-bottle.png,object,glossy-glass-matte-plastic,nail-polish-bottle,pink-black,references/archive/PNGs_renamed/Mani-pedi (Singapore).png
HS_Men's salon & massage_Dubai 1.png,Mens salon & massage (Dubai).png,human__matte-cotton-skin__man-bust-robe-eyepatches-shavingfoam.png,human,matte-cotton-skin,man-bust-robe-eyepatches-shavingfoam,white-brown-green,references/archive/PNGs_renamed/Mens salon & massage (Dubai).png
HS_Monthly Cleaners_Dubai 1.png,Monthly cleaners (Dubai).png,composite__matte-plastic-metal-cotton__cleaning-bucket-cloth-calendar.png,composite,matte-plastic-metal-cotton,cleaning-bucket-cloth-calendar,blue-yellow-white-red,references/archive/PNGs_renamed/Monthly cleaners (Dubai).png
HS_Native Locks_India 1.png,Native Locks (India).png,object__matte-metal-glossy-plastic-glass__smart-lock-keypad-door-handle.png,object,matte-metal-glossy-plastic-glass,smart-lock-keypad-door-handle,bronze-black-charcoal,references/archive/PNGs_renamed/Native Locks (India).png
HS_Native RO Water Purifiers_India 1.png,Native RO Water Purifiers (India).png,appliance__glossy-glass-matte-plastic__ro-water-purifier-dispenser-tap.png,appliance,glossy-glass-matte-plastic,ro-water-purifier-dispenser-tap,charcoal-grey-black,references/archive/PNGs_renamed/Native RO Water Purifiers (India).png
HS_Painting & waterproofing _India 1.png,Painting & waterproofing (India).png,tool__foam-metal-wood__paint-roller.png,tool,foam-metal-wood,paint-roller,yellow-silver-tan,references/archive/PNGs_renamed/Painting & waterproofing (India).png
HS_Part-time cleaners_Dubai-1 1.png,Part-time cleaners (Dubai).png,composite__plastic-microfiber__cleaning-caddy-spray-bottle-cloth.png,composite,plastic-microfiber,cleaning-caddy-spray-bottle-cloth,white-blue-yellow,references/archive/PNGs_renamed/Part-time cleaners (Dubai).png
HS_Premium helper _ Dubai 1.png,Premium helper (Dubai).png,human__stylized-3d-render__woman-bust-uniform-gold-trim.png,human,stylized-3d-render,woman-bust-uniform-gold-trim,brown-black-skintone,references/archive/PNGs_renamed/Premium helper (Dubai).png
HS_Women's salon & spa_Dubai 1.png,Womens salon & spa (Dubai).png,human__stylized-render-terrycloth__woman-bust-facemask-towelwrap-robe.png,human,stylized-render-terrycloth,woman-bust-facemask-towelwrap-robe,green-cream-skintone,references/archive/PNGs_renamed/Womens salon & spa (Dubai).png
ID Dubai 1.png,ID verification (Dubai).png,object__flat-3d-render-plastic__id-card-avatar-photo.png,object,flat-3d-render-plastic,id-card-avatar-photo,pink-magenta-blue,references/archive/PNGs_renamed/ID verification (Dubai).png
Live-in Dubai 1.png,Live-in help (Dubai).png,composite__stylized-3d-render__woman-bust-house-model.png,composite,stylized-3d-render,woman-bust-house-model,brown-blue-yellow-terracotta,references/archive/PNGs_renamed/Live-in help (Dubai).png
Move-in cleaning India 1.png,Move-in cleaning (India).png,object__matte-render-glass__house-model-garage-door.png,object,matte-render-glass,house-model-garage-door,cream-grey-red,references/archive/PNGs_renamed/Move-in cleaning (India).png
Premium Cleaning 1.png,Premium cleaning.png,composite__woven-rope-glossy-plastic-microfiber__woven-basket-spray-bottle-cloth.png,composite,woven-rope-glossy-plastic-microfiber,woven-basket-spray-bottle-cloth,cream-amber-tan,references/archive/PNGs_renamed/Premium cleaning.png
Premium Sofa Dubai 1.png,Premium sofa (Dubai).png,furniture__tufted-velvet-acrylic__chesterfield-armchair.png,furniture,tufted-velvet-acrylic,chesterfield-armchair,blush-pink-clear,references/archive/PNGs_renamed/Premium sofa (Dubai).png
Wall panels 1.png,Wall panels.png,material__wood-marble-fluted-plaster__wall-panel-swatches-3.png,material,wood-marble-fluted-plaster,wall-panel-swatches-3,brown-grey-blush,references/archive/PNGs_renamed/Wall panels.png
"Women's Massage, Dubai 1.png",Womens Massage (Dubai).png,object__matte-render-cotton__lotus-flower-folded-towel.png,object,matte-render-cotton,lotus-flower-folded-towel,pink-white,references/archive/PNGs_renamed/Womens Massage (Dubai).png
Female eyes open.png,Avatar base - female (eyes open).png,human__stylized-3d-render-skin__woman-bust-eyes-open.png,human,stylized-3d-render-skin,woman-bust-eyes-open,skintone-brown,references/archive/PNGs_renamed/Avatar base - female (eyes open).png
Female eyes close.png,Avatar base - female (eyes closed).png,human__stylized-3d-render-skin__woman-bust-eyes-closed.png,human,stylized-3d-render-skin,woman-bust-eyes-closed,skintone-brown,references/archive/PNGs_renamed/Avatar base - female (eyes closed).png
Male eyes open.png,Avatar base - male (eyes open).png,human__stylized-3d-render-skin__man-bust-eyes-open.png,human,stylized-3d-render-skin,man-bust-eyes-open,skintone-brown,references/archive/PNGs_renamed/Avatar base - male (eyes open).png
Male eyes close.png,Avatar base - male (eyes closed).png,human__stylized-3d-render-skin__man-bust-eyes-closed.png,human,stylized-3d-render-skin,man-bust-eyes-closed,skintone-brown,references/archive/PNGs_renamed/Avatar base - male (eyes closed).png
